source,target,embedding_score
.,ward,0.1743
y,sah,-0.262
y,daß,-0.262
y,das,0.1025
y,gut,-0.262
y,da,0.1025
y,schied,-0.262
y,von,-0.262
y,finsternis,0.1025
dios,sah,-0.2185
dios,daß,-0.2185
dios,das,0.0954
dios,gut,-0.2185
dios,da,0.0954
dios,schied,-0.2185
dios,von,-0.2185
dios,finsternis,0.0954
vio,und,-0.171
vio,gott,0.05185
vio,sah,0.6934
vio,",",0.1759
vio,daß,0.6934
vio,das,0.1797
vio,licht,0.0629
vio,gut,0.6934
vio,war,0.1759
vio,.,-0.171
vio,da,0.1797
vio,schied,0.6934
vio,von,0.6934
vio,der,0.00875
vio,finsternis,0.1797
que,sah,0.02078
que,",",-0.1981
que,daß,0.02078
que,das,-0.1038
que,gut,0.02078
que,war,-0.1981
que,da,-0.1038
que,schied,0.02078
que,von,0.02078
que,der,-0.2418
que,finsternis,-0.1038
la,sah,-0.1874
la,daß,-0.1874
la,das,0.1735
la,licht,0.0179
la,gut,-0.1874
la,da,0.1735
la,schied,-0.1874
la,von,-0.1874
la,finsternis,0.1735
luz,sah,0.0629
luz,",",-0.0439
luz,daß,0.0629
luz,das,0.2976
luz,gut,0.0629
luz,war,-0.0439
luz,da,0.2976
luz,schied,0.0629
luz,von,0.0629
luz,der,0.1813
luz,finsternis,0.2976
era,und,-0.171
era,gott,0.05185
era,sah,0.6934
era,",",0.1759
era,daß,0.6934
era,das,0.1797
era,licht,0.0629
era,gut,0.6934
era,war,0.1759
era,.,-0.171
era,da,0.1797
era,schied,0.6934
era,von,0.6934
era,der,0.00875
era,finsternis,0.1797
buena,und,-0.171
buena,gott,0.05185
buena,sah,0.6934
buena,",",0.1759
buena,daß,0.6934
buena,das,0.1797
buena,licht,0.0629
buena,gut,0.6934
buena,war,0.1759
buena,.,-0.171
buena,da,0.1797
buena,schied,0.6934
buena,von,0.6934
buena,der,0.00875
buena,finsternis,0.1797
.,sah,-0.262
.,daß,-0.262
.,das,0.1025
.,gut,-0.262
.,da,0.1025
.,schied,-0.262
.,von,-0.262
.,finsternis,0.1025
luego,und,-0.171
luego,gott,0.05185
luego,sah,0.6934
luego,",",0.1759
luego,daß,0.6934
luego,das,0.1797
luego,licht,0.0629
luego,gut,0.6934
luego,war,0.1759
luego,.,-0.171
