vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
2TH 3:18,0.0661,3038.0,0.1868,431.0,0.343,0.271,1145.0,0.6678410580749949,0.22694700898508322
1TI 1:1,0.09784,2234.0,0.2368,469.8,0.547,0.2742,954.5,0.6186828424470495,0.2918869809003469
1TI 1:2,0.0415,1976.0,0.2114,351.2,0.4985,0.2336,812.0,0.6692482516209101,0.251803761295086
1TI 1:3,0.05798,177.0,0.3086,68.06,0.5547,0.1543,90.1,0.7853962832043031,0.24882625633969177
1TI 1:4,0.0533,2144.0,0.1216,187.2,0.3313,0.2915,754.0,0.6870186277177027,0.2073507280774624
1TI 1:5,0.04742,1796.0,0.1771,204.4,0.421,0.1633,763.5,0.7337887161914004,0.20476685615106113
1TI 1:6,0.10394,769.5,0.1428,33.34,0.5293,0.226,279.8,0.8011114745888959,0.2293857171564748
1TI 1:7,0.1292,260.5,0.2198,99.2,0.4565,0.0832,189.4,0.9295112413875496,0.1872315794186522
1TI 1:8,0.0988,2448.0,0.1974,383.0,0.5757,0.1993,921.0,0.796672419637028,0.2469140841913444
1TI 1:9,0.013855,546.5,0.1843,105.06,0.3853,0.3096,269.5,0.6767244837615983,0.22772092942107924
1TI 1:11,0.08984,1491.0,0.1167,390.5,0.3035,0.1705,785.5,0.7246557238941794,0.18199077826978086
1TI 1:12,0.05515,2096.0,0.1592,271.5,0.3628,0.1666,771.5,0.8023821539318101,0.1795097828312511
1TI 1:13,0.0336,1724.0,0.1262,243.8,0.3877,0.2079,729.5,0.8502235867209488,0.1743454318081441
1TI 1:14,0.03604,2528.0,0.1547,384.0,0.3381,0.281,1034.0,0.6471687390767021,0.21923253764293135
1TI 1:15,0.0712,1709.0,0.1754,296.8,0.401,0.19,749.0,0.7238773824881349,0.21374588679592743
1TI 1:16,0.03232,1704.0,0.1677,289.5,0.3606,0.1768,612.0,0.7047392281263988,0.19585718398272087
1TI 1:17,0.05322,2122.0,0.2798,228.2,0.3489,0.1571,837.0,0.7773116048665982,0.20334727048484708
1TI 1:18,0.04526,1639.0,0.1757,186.6,0.3936,0.148,583.5,0.8061511163032857,0.18225533185102147
1TI 1:19,0.03616,1994.0,0.1287,242.8,0.3794,0.16,817.0,0.8388964750517754,0.1621904584497125
1TI 1:20,0.07715,2944.0,0.3994,308.8,0.515,0.3643,1058.0,0.6183557395815421,0.32920155571924437
1TI 2:1,0.0858,90.8,0.1737,61.53,0.686,0.0751,67.75,0.8651361740518929,0.2247453527412999
1TI 2:2,0.04346,2372.0,0.1821,268.0,0.3591,0.2932,864.0,0.7616641260781407,0.2109981207148535
1TI 2:3,0.1738,2702.0,0.1703,373.2,0.4985,0.2086,1167.0,0.7272085684812635,0.25467637512506525
1TI 2:4,0.2421,1902.0,0.2001,239.4,0.5093,0.1705,711.0,0.7961028932306933,0.2584725108939462
1TI 2:5,0.0685,646.0,0.2021,397.8,0.562,0.1888,516.0,0.7905643651783838,0.2396728766796759
1TI 2:6,0.10065,2248.0,0.2578,175.1,0.4988,0.128,775.0,0.7393492690394766,0.23969214465824595
1TI 2:7,0.0356,630.0,0.2081,193.9,0.4026,0.1277,335.8,0.7735842643021434,0.19191281575533586
1TI 2:8,0.0722,1449.0,0.219,190.9,0.5767,0.12103,586.0,0.7644230933960976,0.23621955224705887
1TI 2:9,0.0527,914.5,0.1912,107.44,0.373,0.2546,307.0,0.7549205188459192,0.21092807079219392
1TI 2:10,0.1321,217.5,0.10846,14.445,0.4285,0.02333,58.66,0.8537512035462232,0.16444629043209175
1TI 2:11,0.1139,475.5,0.1659,17.5,0.5283,0.073,163.1,0.9486487731312815,0.1845131600346225
1TI 2:12,0.11957,1482.0,0.2186,63.75,0.373,0.1345,564.0,0.9587499175461671,0.1741626888827458
1TI 2:13,0.1555,92.8,0.519,72.5,0.787,0.2134,76.0,0.795572313678202,0.36618130365604556
1TI 2:14,0.10736,3158.0,0.2186,259.0,0.3306,0.2576,1209.0,0.8397065132237258,0.20624236704694174
1TI 2:15,0.05676,1473.0,0.275,118.9,0.4116,0.1354,540.0,0.7574297589045943,0.21584079798887662
1TI 3:1,0.0835,1921.0,0.1493,139.4,0.4287,0.10394,678.0,0.8732932292822497,0.1681101126007252
1TI 3:2,0.01913,1470.0,0.1371,155.9,0.351,0.2593,560.0,0.7434222771319271,0.19511890158265707
1TI 3:5,0.08997,1594.0,0.2404,188.6,0.4268,0.1364,606.0,0.7282851010944988,0.22300616837484016
1TI 3:6,0.0881,2092.0,0.3132,144.6,0.579,0.1685,738.5,0.9224085638257766,0.23486011983133728
1TI 3:7,0.04553,1856.0,0.1943,183.0,0.345,0.12366,720.5,0.8915388079492423,0.15507534698563036
1TI 3:8,0.01758,38.66,0.1219,3.445,0.282,0.1992,19.89,0.8317570028893344,0.14847345992550268
1TI 3:13,0.0437,1576.0,0.2522,254.1,0.4248,0.2104,662.5,0.6857288597638893,0.23707324123627688
