,vref,en-NASB,fr-LBS21,swh-ONEN,arb-AVD,en-NLT07,es-NTV,ko-RNKSV,mean,min,second_min
37,MAT 2:13,0.4914746452877526,0.4016031235293361,0.3710055190721094,0.3633800692495464,0.4017638060626298,0.3690589282886088,0.3298542819808752,0.3897343390672655,0.3298542819808752,0.3633800692495464
38,MAT 2:14,0.4787867338012905,0.4632606428132617,0.4454556192021228,0.369577884775418,0.3808817110248175,0.4080994310366486,0.3820297048484975,0.4182988182145794,0.369577884775418,0.3808817110248175
39,MAT 2:15,0.4903867335574374,0.4255414393365658,0.3965166595474415,0.3569630519672502,0.4062914546594799,0.409728515522259,0.3281612727983135,0.4019413039126781,0.3281612727983135,0.3569630519672502
40,MAT 2:16,0.4244748311763732,0.3688277644400354,0.3630791247195168,0.3571132658298037,0.3304674726292606,0.309738988638244,0.2802602725656707,0.34770881714270063,0.2802602725656707,0.309738988638244
41,MAT 2:17,0.5636984004532286,0.4961365523721241,0.4867770608746489,0.463723009424212,0.4899009123112596,0.4865338731622077,0.3840957639997683,0.4815522246567784,0.3840957639997683,0.463723009424212
42,MAT 2:18,0.4833416775106112,0.4364786616005605,0.3620587193831527,0.4042321410422049,0.3856325527506515,0.3886121765979133,0.3480318711197765,0.401198257143553,0.3480318711197765,0.3620587193831527
43,MAT 2:19,0.5625964766736661,0.4660232971422778,0.4948988518354867,0.4279073893545682,0.466632012381225,0.4430632865695715,0.3653245548560701,0.46092083840183795,0.3653245548560701,0.4279073893545682
44,MAT 2:20,0.4737915665194179,0.3844316773031707,0.3694556517820144,0.3614132276706722,0.3631390532214827,0.3588250022011379,0.3549339691447343,0.38085573540609,0.3549339691447343,0.3588250022011379
45,MAT 2:21,0.4713564062828034,0.4184331006673991,0.3999950193096427,0.3342960930697596,0.3470018571003861,0.3637604867153703,0.3865210627200338,0.3887662894093421,0.3342960930697596,0.3470018571003861
46,MAT 2:22,0.4609521935422047,0.4200983143643573,0.4611586475156268,0.4259219922183991,0.3566852005873927,0.3464625332922391,0.3806037905908417,0.40741181030158025,0.3464625332922391,0.3566852005873927
47,MAT 2:23,0.4802333316523908,0.4187296413600111,0.3796265760442083,0.3654758491219929,0.3833929618062712,0.367891898436726,0.3407206313509039,0.3908672699675006,0.3407206313509039,0.3654758491219929
48,MAT 3:1,0.5177736816292837,0.4126312063816054,0.4310215111610567,0.4292434068798398,0.3996411640780709,0.4591800736182457,0.3905517449690655,0.4342918269595954,0.3905517449690655,0.3996411640780709
49,MAT 3:2,0.5193312304628431,0.4720170781425791,0.5528734552158497,0.4505410741332645,0.4748006992917686,0.4838111316381951,0.420248311859632,0.4819461401063046,0.420248311859632,0.4505410741332645
50,MAT 3:3,0.4977344217163424,0.4263479531000897,0.4388480681480005,0.3953521073499041,0.3856028725660521,0.3943287203958724,0.3604193204056743,0.41409049481170507,0.3604193204056743,0.3856028725660521
51,MAT 3:4,0.4683540674571994,0.4179629724734485,0.3953881221004243,0.3649658406143303,0.4435653955874573,0.4265235053491065,0.3464868367119343,0.40903524861341445,0.3464868367119343,0.3649658406143303
52,MAT 3:5,0.5663685500445513,0.4620491420814552,0.456363352537795,0.4274667755577658,0.3878509320247083,0.4253306248319175,0.3791914863440061,0.44351726620317133,0.3791914863440061,0.3878509320247083
53,MAT 3:6,0.5736409825655013,0.4711445891767493,0.4545659449980851,0.4177553674473155,0.5032607453240574,0.4429218587954903,0.4319965647135165,0.4707551504315308,0.4177553674473155,0.4319965647135165
54,MAT 3:7,0.502862631999463,0.4453912047579197,0.4139279486424776,0.3564764667047149,0.413214326488007,0.3946924273591447,0.3943367561322339,0.41727168029770867,0.3564764667047149,0.3943367561322339
55,MAT 3:8,0.4764407409757871,0.5455686417457769,0.523329124379514,0.4760884359667247,0.266225274116355,0.3254811641846025,0.4780411429698298,0.44159636061979857,0.266225274116355,0.3254811641846025
56,MAT 3:9,0.496115834378233,0.4203196856211889,0.3773017000786527,0.3745475941508039,0.318665024480975,0.3038837999709915,0.308780903358665,0.3713735060056442,0.3038837999709915,0.308780903358665
57,MAT 3:10,0.471291663720668,0.4595278994278957,0.4171633125773201,0.3717796522144381,0.4290717865578786,0.3587493080052112,0.3452455485324044,0.40754702443368807,0.3452455485324044,0.3587493080052112
58,MAT 3:11,0.46716312087611,0.4028836383638452,0.388902996153769,0.3615051025452133,0.3875636444731806,0.3617483066870194,0.2982378804142746,0.38114352707334465,0.2982378804142746,0.3615051025452133
59,MAT 3:12,0.5402964120782674,0.4364288120963331,0.475071658020765,0.3787477514520835,0.4056306855932364,0.4358112273115686,0.4241042483417334,0.44229868498485525,0.3787477514520835,0.4056306855932364
