vref,en-NASB,en-NIV84,fr-LBS21,swh-ONEN,arb-AVD,en-NLT07,en-GNBUK,es-NTV,es-NVI99,ko-RNKSV,cho-CHTW,en-KJV,en-NIV11,hop-hopNT,malay_edited,malay_baseline,mean,min,second_min
MAT 1:21,0.5136609701462359,0.4821096061522385,0.4829119719307312,0.4364405874500628,0.3842131280063705,0.3929911499160031,0.4233758421795187,0.3770521404630161,0.4622296490768441,0.3333327212572136,,0.5066195548192037,0.4752814699674967,0.3418323332393531,,,0.431696240354176,0.3333327212572136,0.3418323332393531
MAT 1:22,0.4804238103354616,0.4073863254858238,0.4079552942699945,0.4416545545742089,0.3739898435309386,0.3127931799735038,0.38620421092889,0.3689347572476804,0.4198075324812603,0.3156832476935374,,0.4762348323234195,0.4047640580312795,0.3168084382268836,,,0.3932800065463755,0.3127931799735038,0.3156832476935374
MAT 1:23,0.489591068740828,0.4108039808666412,0.3871285115959885,0.4109035399512407,0.3628798467340446,0.3781078615497141,0.3704410893615216,0.3643968053980124,0.2975290513008823,0.3674069907731938,,0.4927349971716819,0.4156947926754035,,,,0.3956348780099293,0.2975290513008823,0.3628798467340446
MAT 1:24,0.4713540444025063,0.4467502590955153,0.3635543137232571,0.477153733289037,0.4193149737101245,0.3593777269850668,0.3601441139210547,0.3568412376913135,0.3754012341766954,0.330587494423495,,0.4944464329547103,0.4422917744120063,0.3338931496915255,,,0.4023931144981775,0.330587494423495,0.3338931496915255
MAT 1:25,0.469611358094413,0.4808847521236874,0.4172843350887029,0.366017642135411,0.3589078115559472,0.3659751524732728,0.356538759992865,0.3898698170929178,0.4177964857327088,0.3321132734709358,,0.4961801856569727,0.4836128418310359,0.3322577102047484,,,0.40515770195797063,0.3321132734709358,0.3322577102047484
MAT 2:1,0.5221121664651157,0.4804257286966367,0.4552778293799026,0.4624218364802508,0.4133811390944469,0.402246679485204,0.4354525843509557,0.3915781566214825,0.4502724003626059,0.3374383316623785,,0.5342379469973613,0.4779857977706563,0.3836551981429001,,,0.4420373688853767,0.3374383316623785,0.3836551981429001
MAT 2:2,0.4890944010187127,0.448050274071599,0.4519274902055244,0.406104027988709,0.3610285684499504,0.3395316600728588,0.4147191353732231,0.3600020568956794,0.4318783190549672,0.3343185479375081,,0.520236931514035,0.4213915912272311,0.2905256562262206,,,0.40529297384894,0.2905256562262206,0.3343185479375081
MAT 2:3,0.5631664170189498,0.5312853993018177,0.5172872915657416,0.4806340022715831,0.4099743292593914,0.3654249333219029,0.429462329093163,0.4023929188877526,0.5135607325177305,0.3925872255646689,,0.5654835334405527,0.5298119050741776,0.3813955435580298,,,0.4678820431442663,0.3654249333219029,0.3813955435580298
MAT 2:4,0.5068739432644518,0.4562360740170198,0.4845583749852276,0.3892284555520965,0.3612759711212637,0.3429473066126678,0.4161567433005652,0.3556939578958063,0.4803487770810836,0.3279950899632852,,0.5479902552736085,0.4317776552636618,0.374072308637131,,,0.42116576253598986,0.3279950899632852,0.3429473066126678
MAT 2:5,0.5071540836536409,0.425202259532613,0.4682452207528279,0.4466446120852194,0.3808616552455324,0.3715760353216592,0.3977236933492556,0.399703687735313,0.4322740116977411,0.3279988482095455,,0.5573010274324586,0.4240736113234908,0.3678288567132015,,,0.4235836617732691,0.3279988482095455,0.3678288567132015
MAT 2:6,0.4660594646177288,0.4073610719131211,0.426155046249326,0.4014089813197253,0.3437278367644835,0.3572694426846542,0.3778829995989345,0.3744451087673072,0.3796584351643779,0.324028062244876,,0.4841340131198236,0.4031918331861608,0.2825558230327206,,,0.38675985528178775,0.2825558230327206,0.324028062244876
MAT 2:7,0.5445996296775751,0.4604751501560215,0.4756128645895869,0.4456772946733087,0.4465250487212489,0.3563396602010564,0.4165195519002092,0.3843996565103231,0.4387269034988237,0.3902795598515838,,0.5183549928325101,0.4585129509860274,0.3818892318109066,,,0.43983942272378324,0.3563396602010564,0.3818892318109066
MAT 2:8,0.4190072187568514,0.3984194581561229,0.3848585919621893,0.3597309221160377,0.364094424320912,0.3167542219488857,0.3640234391421185,0.3344677284216385,0.3670851536916374,0.2904435535885156,,0.4315550128000264,0.3936982099981319,0.3300532032526221,,,0.3657070106273607,0.2904435535885156,0.3167542219488857
MAT 2:9,0.4348992232060975,0.4126088731851006,0.3513552014194913,0.3476342760013803,0.3388662353045454,0.2917728537480502,0.3373878995813245,0.3313407225638664,0.3920692083444627,0.2989736295377237,,0.4611743513298204,0.3969416137051736,0.3099617099279554,,,0.361921984450384,0.2917728537480502,0.2989736295377237
MAT 2:10,0.4908434430154547,0.4316376854913382,0.4001505510185595,0.4391036835055664,0.4168332196040734,0.3387572570840487,,0.4001641958669668,0.384950719599076,0.3897184180912345,,0.5272332061259547,0.4297571889850061,0.3629089914173454,,,0.41767154665038536,0.3387572570840487,0.3629089914173454
MAT 2:11,0.5182552715663048,0.4773861448151016,0.3978420078172074,0.3725320207807958,0.4175064104685466,0.4316926076932099,0.4403751796373762,0.4223008032378493,0.442854275773756,0.3793191652402318,,0.5516779695430886,0.4977377402118437,0.2915140971342858,,,0.433922591839969,0.2915140971342858,0.3725320207807958
MAT 2:12,0.4285344756626894,0.3827035797023046,0.4411464453148693,0.3876893584616324,0.3830879450913359,0.2621527264030363,0.3550793139674103,0.3265525658014919,0.3848678342717186,0.4005237302741649,,0.4310881687767395,0.3698330087421872,0.2634634575839498,,,0.3705171238502715,0.2621527264030363,0.2634634575839498
MAT 2:13,0.4914746452877526,0.4449959712566931,0.4016031235293361,0.3710055190721094,0.3633800692495464,0.377055714484183,0.4079185645335322,0.3690589282886088,0.4243807305937309,0.3298542819808752,,0.4985259293838274,0.441384247963424,0.3352696819538305,,,0.40430056981365,0.3298542819808752,0.3352696819538305
MAT 2:14,0.4787867338012905,0.4821540313887891,0.4632606428132617,0.4454556192021228,0.369577884775418,0.3572705130082725,0.4293529626117997,0.4080994310366486,0.4790017029006348,0.3820297048484975,,0.5350666798876164,0.4784426851179197,0.3623985852611074,,,0.4362228597425676,0.3572705130082725,0.3623985852611074
MAT 2:15,0.4903867335574374,0.4544161584131915,0.4255414393365658,0.3965166595474415,0.3569630519672502,0.3543865854440228,0.3942810997847384,0.409728515522259,0.4082908907121197,0.3281612727983135,,0.5075852189063822,0.4521736173461622,0.3388218178763635,,,0.4090194662470959,0.3281612727983135,0.3388218178763635
MAT 2:16,0.4244748311763732,0.3709985966482734,0.3688277644400354,0.3630791247195168,0.3571132658298037,0.2926000044629251,0.3285461880131837,0.309738988638244,0.331669904726002,0.2802602725656707,,0.4402883112041645,0.3718607344721886,0.2976980968138579,,,0.3490120064392491,0.2802602725656707,0.2926000044629251
MAT 2:17,0.5636984004532286,0.5228598643206321,0.4961365523721241,0.4867770608746489,0.463723009424212,0.4204615975884363,0.4062867661557616,0.4865338731622077,0.5360768137225282,0.3840957639997683,,0.5843301711096951,0.5234844429643983,0.3377889353921877,,,0.47786563473383303,0.3377889353921877,0.3840957639997683
MAT 2:18,0.4833416775106112,0.4626647558274855,0.4364786616005605,0.3620587193831527,0.4042321410422049,0.3647867117816592,0.3806832976784034,0.3886121765979133,0.4343150970967029,0.3480318711197765,,0.5162444096722782,0.4616146634199455,0.2938794716145015,,,0.4105341272573227,0.2938794716145015,0.3480318711197765
