vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
MAT 4:6,0.05328,905.5,0.3765,273.5,0.7617,0.1287,554.0,0.7529982054467241,0.30348631885885274
MAT 4:7,0.0859,1827.0,0.3394,441.8,0.6294,0.2708,1090.0,0.6475182773009712,0.3203978133529087
MAT 4:8,0.1624,1697.0,0.4053,504.2,0.7397,0.2391,995.0,0.5923735541962895,0.37569626749098073
MAT 4:9,0.0556,1527.0,0.4565,644.0,0.691,0.2448,938.5,0.5558930955035511,0.35950720352286303
MAT 4:10,0.1124,1322.0,0.5005,416.8,0.795,0.2018,820.5,0.6740522814506467,0.3721236316365862
MAT 4:11,0.1968,2490.0,0.3843,702.5,0.6562,0.2622,1442.0,0.6471246889429564,0.35769310125933146
MAT 4:12,0.2012,1279.0,0.3777,278.5,0.658,0.1636,774.0,0.7651552241396491,0.31519228728760873
MAT 4:13,0.1294,885.0,0.3394,205.8,0.706,0.2927,548.5,0.6269087700616137,0.350640172509288
MAT 4:14,0.277,1843.0,0.2568,282.8,0.534,0.1995,1052.0,0.6630705460946765,0.3087090913743375
MAT 4:15,0.1302,748.0,0.4695,251.1,0.7026,0.4097,404.0,0.37271366202374645,0.4381286810018849
MAT 4:16,0.124,1811.0,0.3218,523.0,0.6914,0.2654,1058.0,0.6772375413274841,0.33131688473913606
MAT 4:17,0.0978,1721.0,0.39,289.8,0.595,0.2576,1067.0,0.6197908172541666,0.3283518179675244
MAT 4:18,0.07556,1479.0,0.2668,420.2,0.4915,0.259,848.0,0.6760393013876299,0.2699286426323004
MAT 4:19,0.0959,1067.0,0.362,213.1,0.664,0.2004,706.5,0.6145231570415931,0.3259178060242675
MAT 4:20,0.2996,2456.0,0.3682,641.0,0.6284,0.3462,1463.0,0.681860629266878,0.3792439457050028
MAT 4:21,0.084,1192.0,0.4744,286.5,0.754,0.3208,698.0,0.5496105528615075,0.3959496645494046
MAT 4:22,0.2761,2658.0,0.35,817.5,0.6772,0.2341,1510.0,0.7138683426291856,0.35433883902040963
MAT 4:23,0.09375,1150.0,0.458,327.5,0.8013,0.2825,677.5,0.5130269409699643,0.40492527521133326
MAT 4:24,0.03442,1093.0,0.272,296.8,0.524,0.2764,635.0,0.626209045048886,0.2817206189859017
MAT 4:25,0.1028,1997.0,0.3665,560.0,0.638,0.3516,1157.0,0.5097096877021214,0.3679325083030278
MAT 5:1,0.1802,1527.0,0.3928,468.8,0.655,0.1901,882.0,0.5825787924605386,0.3493495003211123
MAT 5:2,0.353,2212.0,0.3828,375.2,0.6357,0.224,1285.0,0.623611593503128,0.3807310436013128
MAT 5:3,0.1708,2304.0,0.3845,575.0,0.486,0.3865,1357.0,0.5309641703107952,0.3585702061506952
MAT 5:4,0.219,1842.0,0.4214,397.8,0.6265,0.2686,1089.0,0.7380105764739803,0.34113358659168874
MAT 5:5,0.184,2440.0,0.2803,632.0,0.633,0.3154,1447.0,0.6939984906363346,0.3222950402723742
MAT 5:6,0.10376,2800.0,0.532,514.0,0.6187,0.35,1661.0,0.6716356245969861,0.37329444805776757
MAT 5:7,0.2008,1842.0,0.5454,397.8,0.7373,0.352,1090.0,0.7839135559844506,0.38807947541069127
MAT 5:8,0.096,2156.0,0.4075,567.0,0.584,0.3499,1284.0,0.5227400647049939,0.36342316705647476
MAT 5:9,0.1812,1382.0,0.4067,299.0,0.803,0.2264,817.0,0.7728896991487607,0.3562591959702802
MAT 5:10,0.1543,2074.0,0.4404,517.5,0.547,0.3132,1221.0,0.5297205214582039,0.3654831350291011
MAT 5:11,0.0898,612.5,0.3186,69.5,0.586,0.1232,314.5,0.8109086551265635,0.2522100833066463
MAT 5:12,0.0856,1509.0,0.3171,183.1,0.6904,0.1927,906.0,0.6297553166531014,0.31656303306361233
MAT 5:13,0.06055,952.0,0.2354,154.1,0.414,0.1797,548.5,0.780467011842807,0.2116021156354054
MAT 5:14,0.1967,943.0,0.3193,209.1,0.707,0.1411,572.0,0.7219470844266199,0.31478420545376
