vref,alignment_score,translation_score,avg_aligned,jac_sim,match_counts,encoding_dist,simple_total,total_score
MAT 5:32,0.06659801833799425,0.3434116437239116,0.5934295871751664,0.21658975169315148,747.3,0.44146466,0.3050072502325559,0.3284313440878299
MAT 5:33,0.10154093338662758,0.33422448443703856,0.629621051349628,0.26382178937975104,633.8461538461538,0.3670712,0.3323020646382613,0.3601750390870374
MAT 5:34,0.08596516633726455,0.4047648603179475,0.6110099857733632,0.3153097466800503,850.9333333333333,0.4024379,0.3542624397771564,0.37302148322104245
MAT 5:35,0.1128920169275868,0.45309159270423655,0.6932769485231667,0.35250567692835383,855.8571428571429,0.38501766,0.402941558770836,0.4145485177443546
MAT 5:36,0.10145706274034276,0.46247074626490525,0.6624454130807087,0.22837188258245597,566.8,0.384357,0.36368627616710314,0.38244271906953897
MAT 5:37,0.09389022840770385,0.22875837415123934,0.4645413134847077,0.14915935630008573,857.0909090909091,0.6469183,0.23408731808593417,0.24206975501183695
MAT 5:38,0.14722335996022898,0.43373222855019794,0.7217729184711691,0.20260343208805098,734.1428571428571,0.3710867,0.3763329847674117,0.3945953489595538
MAT 5:39,0.12252332662264151,0.3362542370077761,0.6110749175643154,0.2837370682223587,876.7777777777778,0.43801036,0.33839738735427294,0.3547855950602852
MAT 5:40,0.18318472975210015,0.45693339667727156,0.6076001741080943,0.21832067808185385,1367.3,0.43080094,0.36650974465482994,0.3799920530421428
MAT 5:41,0.20842703228546458,0.2725792501559582,0.700059575612132,0.2179073403317578,631.1,0.55453503,0.34974329959632816,0.3469930079923159
MAT 5:42,0.17921438332051762,0.33164776632339654,0.4956247636995301,0.23905102484823612,1405.2,0.45903632,0.3113844845479201,0.3303716430328719
MAT 5:43,0.1298852092102002,0.5693365205667232,0.7855818038571799,0.3747102006165298,1041.3,0.38713032,0.46487843356265823,0.46351161239194605
MAT 5:44,0.22782897487269918,0.48801473666683004,0.6991562908579106,0.2579267625562443,1365.4545454545455,0.50256705,0.4182316912384211,0.41166659881719203
MAT 5:45,0.07895521780869717,0.44122483713282057,0.7210638339086463,0.27456609770204865,728.2105263157895,0.34586582,0.37895249663805314,0.40045133331947974
MAT 5:46,0.12372210021753725,0.3572728086668585,0.5681919570360292,0.24902615691626245,988.6923076923077,0.5014015,0.3245532557091719,0.33503687413118566
MAT 5:47,0.11932687438505034,0.2457302870894451,0.6586772267345687,0.17088115536197662,857.2307692307693,0.4131301,0.2986538858927602,0.3274680441088819
MAT 5:48,0.2058376406600082,0.42858859486370804,0.8074921695564181,0.28043403992881183,872.0,0.45994496,0.4305881112522365,0.4270559238836675
MAT 6:1,0.08748277390420335,0.24576109773465268,0.5528463493087603,0.20992231329869845,699.7142857142857,0.48641333,0.2740031335615787,0.29529301816162334
MAT 6:2,0.05963584406273226,0.2920683595231726,0.59204087256633,0.21897115846707496,645.7083333333334,0.4456274,0.29067905865482746,0.3150532204150257
MAT 6:3,0.1282040826827462,0.35470737485510434,0.6817504807594508,0.26864351179853674,885.7,0.46360552,0.3583263625239595,0.3692720020490814
MAT 6:4,0.21312848960923236,0.35787398206113324,0.7425936695943762,0.2864042905144851,1550.4545454545455,0.38027436,0.4000001079448067,0.4113596089924858
MAT 6:5,0.06193965002822375,0.35907488645012314,0.6656796727854652,0.2414456103833108,816.9166666666666,0.38783678,0.33203495491178076,0.35667840188408056
MAT 6:6,0.12368050657023494,0.4130592469019897,0.7251431255458867,0.22884259303993404,841.8125,0.37403324,0.37268136801451135,0.39142586418279857
MAT 6:7,0.11376088491192513,0.3342240612017671,0.6449148179560683,0.24461060191450992,866.3571428571429,0.42099538,0.3343775914960676,0.35418812303796976
MAT 6:8,0.12922245118122513,0.33297357212767414,0.5552918447602183,0.19059215127436205,701.6428571428571,0.5341429,0.30202000483586994,0.3127153712949167
