vref,total_score
MAT 6:28,0.5093706859375
MAT 6:29,0.46960778567708333
MAT 6:30,0.4882959194885254
MAT 6:31,0.4376228314887153
MAT 6:32,0.4753284451622596
MAT 6:33,0.5683733873697916
MAT 6:34,0.3664381872965495
MAT 7:1,0.4230438411458333
MAT 7:2,0.4937089447157118
MAT 7:3,0.4795361918569711
MAT 7:4,0.5242612467447916
MAT 7:5,0.5383921024639423
MAT 7:6,0.4208586400146484
MAT 7:7,0.5776895703125
MAT 7:8,0.48279277988281244
MAT 7:9,0.40272477356770836
MAT 7:10,0.418228163696289
MAT 7:11,0.49470357291666667
MAT 7:12,0.42271879000311957
MAT 7:13,0.43565599925231935
MAT 7:14,0.45556398953683036
MAT 7:15,0.43513273388671875
MAT 7:16,0.3687548486735026
MAT 7:17,0.44453013938210223
